Headline,Date
Nike stock price target raised to $115 from $100 at Raymond James,"Jun. 17, 2020 at 8:52 a.m. ET"
"Social-distancing ‘champions,’ one-way store traffic, long lines — the new normal for England’s shoppers","Jun. 16, 2020 at 6:43 a.m. ET"
Nike Stock Is Beating the Market. Analyst Points Out the Risks.,"Jun. 15, 2020 at 11:26 a.m. ET"
These U.S. stocks led the market’s brutal decline Thursday,"Jun. 12, 2020 at 6:49 a.m. ET"
Nike's Jordan brand gets a boost from ESPN/Netflix doc 'The Last Dance',"Jun. 9, 2020 at 2:01 p.m. ET"
"Companies are speaking out against racial injustice after the killing of George Floyd, but they have to back it up with action","Jun. 9, 2020 at 9:21 a.m. ET"
These stocks rose by double digits Friday as underperforming sectors bounced back,"Jun. 6, 2020 at 3:38 p.m. ET"
"Buy this, not that — 5 stocks to trade into now and 5 to avoid","Jun. 6, 2020 at 12:03 p.m. ET"
These CEOs Are Speaking Out Against Racism. What They Say They Can Do Better.,"Jun. 5, 2020 at 8:20 p.m. ET"
"Nike, UnitedHealth share losses lead the way, but Dow flat","Jun. 4, 2020 at 3:59 p.m. ET"
"Dow's nearly 100-point fall led by losses for shares of UnitedHealth, Nike","Jun. 4, 2020 at 2:58 p.m. ET"
"Dow flat despite losses for UnitedHealth, Johnson & Johnson shares","Jun. 4, 2020 at 1:50 p.m. ET"
"Dow drops 100 points on losses in UnitedHealth, Nike shares","Jun. 4, 2020 at 12:50 p.m. ET"
"Johnson & Johnson, UnitedHealth share losses lead the way, but Dow flat","Jun. 4, 2020 at 11:49 a.m. ET"
Buy Nike Stock Now Because of the ‘Accelerating Shift to Nike.com’,"Jun. 1, 2020 at 3:50 p.m. ET"
"Facebook, Apple, Nike and other companies support protesters with donations and hashtags","Jun. 1, 2020 at 3:32 p.m. ET"
Nike price target raised to $110 from $85 at Cowen,"Jun. 1, 2020 at 8:26 a.m. ET"
These stocks performed best in May as the market rally continued,"Jun. 1, 2020 at 6:42 a.m. ET"
Under Armour stock surges after store reopening plans detailed,"May. 28, 2020 at 8:10 a.m. ET"
"American Express, Goldman Sachs share gains contribute to Dow's 350-point rally","May. 27, 2020 at 2:59 p.m. ET"
Foot Locker focuses on shoes but shoppers want fitness apparel during coronavirus lockdowns,"May. 27, 2020 at 9:36 a.m. ET"
The Newest Risk to Department Stores: Direct-to-Consumer Sales by Brands,"May. 26, 2020 at 2:33 p.m. ET"
Foot Locker Lost Far More Than Expected. The Stock Is Dropping.,"May. 22, 2020 at 8:48 a.m. ET"
"Nike had lines of up to 40 people outside a store in an Atlanta mall over the weekend, analysts say","May. 19, 2020 at 8:04 a.m. ET"
Here are Monday’s best stock-market performers as airlines and cruise lines shine,"May. 18, 2020 at 5:01 p.m. ET"
Nike says online sales offsetting slack or non-existent store sales,"May. 14, 2020 at 4:57 p.m. ET"
Under Armour’s path to boosting full-price sales blocked by coronavirus,"May. 13, 2020 at 7:23 a.m. ET"
"Goldman Sachs, Nike share losses lead Dow's 183-point fall","May. 12, 2020 at 3:18 p.m. ET"
"Dow drops nearly 125 points on losses for shares of Goldman Sachs, Nike","May. 12, 2020 at 2:11 p.m. ET"
"Dow's nearly 50-point drop led by losses in Goldman Sachs, Nike stocks","May. 12, 2020 at 1:10 p.m. ET"
Michael Jordan’s 1985 Nike Air Jordan 1S Sneakers up for Auction,"May. 11, 2020 at 4:23 p.m. ET"
A Giant Pension Bought Up Uber and Lyft Stock. Here’s What It Sold.,"May. 10, 2020 at 7:00 a.m. ET"
Nike stock price target raised to $100 from $95 at BofA Securities,"May. 8, 2020 at 11:30 a.m. ET"
"Dow flat in spite of gains for shares of Walt Disney, Intel","May. 6, 2020 at 11:12 a.m. ET"
"Chevron, Nike share gains lead Dow's nearly 300-point rally","May. 5, 2020 at 3:18 p.m. ET"
J.Crew was in trouble even before COVID-19 due to a big debt burden and failure to keep up with trends,"May. 5, 2020 at 11:52 a.m. ET"
"Neiman Marcus is likely just the start: Analysts expect 100,000 stores to close by 2025","May. 4, 2020 at 7:34 a.m. ET"
"Here are Friday’s biggest stock-market losers, driven lower by disappointing earnings and a shrinking manufacturing sector","May. 2, 2020 at 7:18 a.m. ET"
Here are the stock market’s biggest winners on Wednesday as investors see new hope,"Apr. 29, 2020 at 5:15 p.m. ET"
"Home Depot, Apple Inc. share gains lead Dow's nearly 200-point climb","Apr. 24, 2020 at 2:45 p.m. ET"
"Home Depot, Apple Inc. share gains lead Dow's 75-point jump","Apr. 24, 2020 at 1:45 p.m. ET"
